t,s,kappa,tau
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,15.66001597,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0,nan,nan
1.000000,0.04432270583,0.06513146945,nan
1.000000,16.67788037,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0,nan,nan
1.050000,0.4299743621,0.06103329061,nan
1.050000,17.8433494,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
1.100000,0,nan,nan
